#
#    Period, Days, T      Frequency, 1/Days, v      Periodogram, I(v)
#
  0.367859384808537E+02   0.271843003412969E-01   0.312870750560428E+00
  0.367628607277290E+02   0.272013651877133E-01   0.250327282754540E+00
  0.367398119122257E+02   0.272184300341297E-01   0.182534418127147E+00
  0.367167919799499E+02   0.272354948805461E-01   0.125640315230621E+00
  0.366938008766437E+02   0.272525597269625E-01   0.974598441411299E-01
  0.366708385481852E+02   0.272696245733788E-01   0.113767284619950E+00
  0.366479049405879E+02   0.272866894197952E-01   0.184325811901368E+00
  0.366250000000000E+02   0.273037542662116E-01   0.309542818316951E+00
  0.366021236727046E+02   0.273208191126280E-01   0.478807396066489E+00
  0.365792759051186E+02   0.273378839590444E-01   0.671012807445841E+00
  0.365564566437929E+02   0.273549488054608E-01   0.857601746866196E+00
  0.365336658354115E+02   0.273720136518771E-01   0.100761778891253E+01
  0.365109034267913E+02   0.273890784982935E-01   0.109377815538428E+01
  0.364881693648817E+02   0.274061433447099E-01   0.109821202127548E+01
  0.364654635967642E+02   0.274232081911263E-01   0.101692203495741E+01
  0.364427860696517E+02   0.274402730375427E-01   0.861264955779676E+00
  0.364201367308887E+02   0.274573378839590E-01   0.656811015757989E+00
  0.363975155279503E+02   0.274744027303754E-01   0.438950400667766E+00
  0.363749224084420E+02   0.274914675767918E-01   0.246686830515836E+00
  0.363523573200993E+02   0.275085324232082E-01   0.115370962999038E+00
  0.363298202107874E+02   0.275255972696246E-01   0.700061409289657E-01
  0.363073110285006E+02   0.275426621160410E-01   0.120374265581137E+00
  0.362848297213622E+02   0.275597269624573E-01   0.258862218288086E+00
  0.362623762376238E+02   0.275767918088737E-01   0.461594636129415E+00
  0.362399505256648E+02   0.275938566552901E-01   0.692462936194011E+00
  0.362175525339926E+02   0.276109215017065E-01   0.909688141349139E+00
  0.361951822112415E+02   0.276279863481229E-01   0.107340585402850E+01
  0.361728395061728E+02   0.276450511945392E-01   0.115311821138847E+01
  0.361505243676743E+02   0.276621160409556E-01   0.113369772023461E+01
  0.361282367447596E+02   0.276791808873720E-01   0.101830662809127E+01
